# time tx ty tz qx qy qz qw
285.000000 12.915305 30.412239 26.139104 0.138695 0.927547 0.309509 -0.156923
286.000000 12.570758 31.249664 26.563375 0.142032 0.923393 0.319106 -0.159198
287.000000 12.596541 32.089847 27.105065 0.145084 0.919681 0.327427 -0.161025
288.000000 12.651877 31.100481 27.239574 0.150736 0.911841 0.345742 -0.162132
289.000000 12.765206 31.964790 27.729601 0.152021 0.907763 0.355875 -0.161892
290.000000 12.826569 32.880133 28.127574 0.153463 0.903395 0.365818 -0.162800
291.000000 13.062766 33.772621 28.511859 0.151852 0.899048 0.375691 -0.165858
292.000000 13.074729 34.596807 29.078053 0.155308 0.893679 0.385747 -0.168574
293.000000 12.872337 35.426534 29.598236 0.160642 0.893859 0.384703 -0.164968
294.000000 12.915595 36.259348 30.150095 0.165722 0.891651 0.386879 -0.166794
295.000000 12.937454 37.258968 30.166923 0.169608 0.885624 0.397609 -0.169740
296.000000 12.665046 38.089736 29.681518 0.174553 0.878105 0.410738 -0.172502
297.000000 12.741269 38.357105 28.720943 0.178989 0.870114 0.424208 -0.175817
298.000000 12.697517 37.428227 29.088738 0.180813 0.863343 0.435598 -0.179445
299.000000 12.699808 36.527226 29.522548 0.183133 0.856629 0.446394 -0.182705
300.000000 12.778815 37.416976 29.072990 0.187781 0.849515 0.456760 -0.185561
301.000000 12.792377 36.773554 29.838381 0.194264 0.842315 0.465645 -0.189583
302.000000 12.515878 37.621956 29.386981 0.197679 0.837156 0.473184 -0.190236
303.000000 12.417503 38.614659 29.317240 0.201046 0.833311 0.478059 -0.191399
304.000000 12.443421 39.287332 28.577754 0.203140 0.829810 0.481812 -0.194953
305.000000 13.137481 39.915217 28.929950 0.205545 0.830959 0.474986 -0.204076
306.000000 13.885580 39.888762 29.593009 0.207644 0.832173 0.469068 -0.210590
307.000000 13.433195 39.011589 29.753992 0.209906 0.835276 0.458272 -0.219638
308.000000 12.958914 38.194714 30.082277 0.214946 0.838098 0.446475 -0.228145
309.000000 13.645092 38.756502 30.544394 0.215261 0.846872 0.422044 -0.241557
310.000000 12.981685 38.078753 30.227303 0.220091 0.850495 0.406676 -0.250666
311.000000 13.522141 38.898719 30.415886 0.221815 0.855183 0.386729 -0.264387
312.000000 12.740429 38.329154 30.161874 0.230024 0.828583 0.470323 -0.198331
313.000000 11.844376 37.965375 29.907407 0.233516 0.837599 0.443840 -0.216573
314.000000 11.819272 37.194082 30.543392 0.229418 0.845509 0.423484 -0.230527
315.000000 11.256165 37.668189 29.866537 0.224928 0.853130 0.402003 -0.244886
316.000000 10.459066 37.124159 29.604498 0.225183 0.851553 0.409869 -0.236976
317.000000 9.662965 36.660638 29.215433 0.226858 0.847183 0.423555 -0.226756
318.000000 10.345152 36.682700 29.946278 0.221128 0.855457 0.401671 -0.240740
319.000000 10.126563 35.785335 30.329623 0.213404 0.863166 0.383439 -0.249755
320.000000 10.104996 34.858888 30.705429 0.207115 0.869823 0.365283 -0.258995
321.000000 9.681267 33.960391 30.590727 0.202793 0.874050 0.351476 -0.267164
322.000000 10.271042 34.669835 30.976543 0.199430 0.879815 0.330811 -0.276979
